Nom,Lien,Days Ago,Etoiles,Lien Chart source,Provenance,,,
gateway,https://artifacthub.io/packages/helm/istio-official/gateway,14,71,https://github.com/istio/istio,entreprise,,,
argocd-image-updater,https://artifacthub.io/packages/helm/argo/argocd-image-updater,13,58,Automatic container image update for Argo CD,entreprise,https://github.com/argoproj/argo-helm/tree/main/charts/argocd-image-updater,,
alertmanager,Alertmanager - prometheus-community,21,52,https://github.com/prometheus-community/helm-charts,entreprise,,,
prometheus-node-exporter,https://artifacthub.io/packages/helm/prometheus-community/prometheus-node-exporter,32,51,https://github.com/prometheus-community/helm-charts,entreprise,,,
argo-events,https://artifacthub.io/packages/helm/argo/argo-events,30,47,https://github.com/argoproj/argo-events,entreprise,,,
rook-ceph,https://artifacthub.io/packages/helm/rook/rook-ceph,30,46,https://github.com/rook/rook,entreprise,,,
kured,https://artifacthub.io/packages/helm/kured/kured,121,41,https://github.com/kubereboot/kured,entreprise,,https://github.com/kubereboot/charts,
prometheus-adapter,https://artifacthub.io/packages/helm/prometheus-community/prometheus-adapter,60,39,https://github.com/kubernetes-sigs/prometheus-adapter,commu,,,
backstage,https://artifacthub.io/packages/helm/backstage/backstage,63,38,https://github.com/backstage/charts,entreprise,,,
headlamp,https://artifacthub.io/packages/helm/headlamp/headlamp,18,38,https://github.com/kubernetes-sigs/headlamp/tree/main/charts/headlamp,entreprise,,,
openebs-crds,https://artifacthub.io/packages/helm/openebs/openebs,0.1,38,https://github.com/openebs/openebs,entreprise,,,
prometheus-operator-crds,https://artifacthub.io/packages/helm/prometheus-community/prometheus-operator-crds,26,31,https://github.com/prometheus-community/helm-charts,entreprise,,,
prometheus-pushgateway,https://artifacthub.io/packages/helm/prometheus-community/prometheus-pushgateway,32,29,https://github.com/prometheus-community/helm-charts,entreprise,,,
rook-ceph-cluster,https://artifacthub.io/packages/helm/rook/rook-ceph-cluster,31,26,https://github.com/rook/rook,entreprise,,,
policy-reporter,https://artifacthub.io/packages/helm/policy-reporter/policy-reporter,0.4,25,https://github.com/kyverno/policy-reporter,entreprise,,,
kyverno-policies,https://artifacthub.io/packages/helm/kyverno/kyverno-policies,33,21,https://github.com/kyverno/kyverno/tree/main/charts/kyverno-policies,entreprise,,,
opencost,https://artifacthub.io/packages/helm/opencost/opencost,34,20,https://github.com/opencost/opencost-helm-chart,entreprise,,,
trust-manager,https://artifacthub.io/packages/helm/cert-manager/trust-manager,26,18,https://github.com/cert-manager/trust-manager,entreprise,,,
istio-cni,https://artifacthub.io/packages/helm/istio-official/cni,14,17,https://github.com/istio/istio,entreprise,,,
meshery,https://artifacthub.io/packages/helm/meshery/meshery,4,16,https://github.com/meshery/meshery/tree/master,commu,,,
openfga,https://artifacthub.io/packages/helm/openfga/openfga,32,16,https://github.com/openfga/helm-charts/tree/main/charts/openfga,entreprise,,,
ztunnel,https://artifacthub.io/packages/helm/istio-official/ztunnel,14,15,https://github.com/istio/istio,entreprise,,,
tetragon,https://artifacthub.io/packages/helm/cilium/tetragon,78,11,https://github.com/cilium/tetragon/,entreprise,,,
gadget,https://artifacthub.io/packages/helm/gadget/gadget,33,10,https://github.com/inspektor-gadget/inspektor-gadget,commu,,,
prometheus-snmp-exporter,https://artifacthub.io/packages/helm/prometheus-community/prometheus-snmp-exporter,0.16,10,https://github.com/prometheus-community/helm-charts/tree/main/charts/prometheus-snmp-exporter,commu,,,
open-feature-operator,https://artifacthub.io/packages/helm/open-feature-operator/open-feature-operator,96,9,https://github.com/open-feature/open-feature-operator,commu,Note : un peu spécial car n'e directement au sein de la CNCF avec directement une collab inter-entreprsie\,,
telepresence-oss,https://artifacthub.io/packages/helm/telepresence-oss/telepresence-oss,6,9,https://github.com/telepresenceio/telepresence/tree/release/v2/charts,entreprise,,,
cert-manager-csi-driver,https://artifacthub.io/packages/helm/cert-manager/cert-manager-csi-driver,26,7,https://github.com/cert-manager/csi-driver/tree/main/deploy/charts/csi-driver,entreprise,,,
ambient,https://artifacthub.io/packages/helm/istio-official/ambient,14,6,https://github.com/istio/istio/tree/master/manifests/charts,entreprise,"dans un dossier sample-chart, très petite, peut etre a exclure",,
microcks,https://artifacthub.io/packages/helm/microcks/microcks,28,5,https://github.com/microcks/microcks/tree/master/install/kubernetes/microcks,commu,,,
cert-manager-istio-csr,https://artifacthub.io/packages/helm/cert-manager/cert-manager-istio-csr,26,4,https://github.com/cert-manager/istio-csr/tree/main/deploy/charts/istio-csr,entreprise,,,
keptn,https://artifacthub.io/packages/helm/lifecycle-toolkit/keptn,300,4,https://github.com/keptn/lifecycle-toolkit/tree/main/chart,entreprise,,,
capsule,https://artifacthub.io/packages/helm/projectcapsule/capsule,17,3,https://github.com/projectcapsule/capsule,commu,,,
prometheus-json-exporter,https://artifacthub.io/packages/helm/prometheus-community/prometheus-json-exporter,150,3,https://github.com/prometheus-community/helm-charts/tree/main/charts/prometheus-json-exporter,commu,,,
linstor-cluster,https://artifacthub.io/packages/helm/piraeus-charts/linstor-cluster,90,2,https://github.com/piraeusdatastore/helm-charts/tree/main/charts,entreprise,,,
perses,https://artifacthub.io/packages/helm/perses/perses,27,2,https://github.com/perses/helm-charts,commu,,,
google-cas-issuer,https://artifacthub.io/packages/helm/cert-manager/cert-manager-google-cas-issuer,26,1,https://github.com/cert-manager/google-cas-issuer,entreprise,,,
kuadrant-operator,https://artifacthub.io/packages/helm/kuadrant/kuadrant-operator,60,1,https://github.com/Kuadrant/kuadrant-operator,entreprise,,,
linstor-affinity-controller,https://artifacthub.io/packages/helm/piraeus-charts/linstor-affinity-controller,180,1,https://github.com/piraeusdatastore/helm-charts/tree/main/charts/linstor-affinity-controller,entreprise,,,
alertmanager-snmp-notifier,https://artifacthub.io/packages/helm/prometheus-community/alertmanager-snmp-notifier,150,0,https://github.com/maxwo/snmp_notifier/tree/main/scripts/kubernetes,commu,pas vraiment de chart a l'interieur ,,
authorino-operator,https://artifacthub.io/packages/helm/kuadrant/authorino-operator,90,0,https://github.com/Kuadrant/authorino-operator/tree/main/charts/authorino-operator,entreprise,,,
capsule-proxy,https://artifacthub.io/packages/helm/projectcapsule/capsule-proxy,27,0,à télecharger,commu,,,
cert-manager-csi-driver-spiffe,https://artifacthub.io/packages/helm/cert-manager/cert-manager-csi-driver-spiffe,26,0,https://github.com/cert-manager/csi-driver-spiffe/tree/main/deploy/charts/csi-driver-spiffe,entreprise,,,
dns-operator,https://artifacthub.io/packages/helm/kuadrant/dns-operator,90,0,https://github.com/Kuadrant/dns-operator/tree/main/charts/dns-operator,entreprise,istio/manifests/charts/istio-cni at master · istio/istio,istio/manifests/charts/istio-control/istio-discovery at master · istio/istio,istio/manifests/charts/ztunnel at master · istio/istio
kepth-lifecycle-toolkit,https://artifacthub.io/packages/helm/lifecycle-toolkit/klt,730,0,https://github.com/keptn/lifecycle-toolkit/tree/main/chart,entreprise,,,
limitador-operator,https://artifacthub.io/packages/helm/kuadrant/limitador-operator,90,0,limitador-operator/charts/limitador-operator at main · Kuadrant/limitador-operator,entreprise,,,
prometheus-conntrack-stats-exporter,https://artifacthub.io/packages/helm/prometheus-community/prometheus-conntrack-stats-exporter,14,0,https://github.com/jwkohnen/conntrack-stats-exporter/tree/main,commu,,,
prom-label-proxy,https://artifacthub.io/packages/helm/prometheus-community/prom-label-proxy,24,0,https://github.com/prometheus-community/helm-charts/tree/main/charts/prom-label-proxy,entreprise,,,
